,Portfolio,cumulative_returns,cagr,vol,mdd,sharpe_ratio
0,"EWY, IVE, IVE, VWO, AGG, Cash",10.607868996197789,3.414640082620468,14.664399193542197,-27.9336128826845,0.23285236834825002
1,"SHY, QQQ, EEM, EEM, TIP, Cash",24.43754778908447,7.545632398490554,16.242467703895404,-29.26556361972298,0.46456194563840175
2,"TLT, IVE, VTI, IEF, VGK, Cash",69.61541344257655,19.219964515134546,17.60419919839346,-14.738551307382908,1.0917829489732507
3,"SCZ, EEM, EWY, EWY, EWY, Cash",26.352174078062095,8.093398807694596,16.92446822273797,-23.205693099626323,0.4782069782742798
4,"SCZ, DBC, IWN, VNQ, DBC, Cash",34.807143257783444,10.448241666048276,18.314956164701364,-23.226040925312518,0.5704759308234271
5,"VWO, TIP, VTI, GSG, IEF, Cash",3.5574270475329905,1.16986984345675,13.81008969781233,-25.9449687446174,0.08471124149483766
6,"VNQ, EWY, BND, SPY, SPY, Cash",36.854739979358975,11.003619578927859,25.08194523707694,-35.621137147582814,0.4387067858940204
7,"VWO, SCZ, EEM, VEU, IWM, Cash",36.16642421686127,10.817547400673044,21.441859200491084,-25.683159545094714,0.504506036511297
8,"AGG, HYG, DBC, SCZ, EFA, Cash",33.1772801176144,10.011698510939993,16.461422627993898,-20.63974146843057,0.6081915723319283
9,"VEA, IWN, SPY, VGK, TLT, Cash",-14.342082460281013,-5.020467188745248,20.04103679844197,-42.35399786414491,-0.25050935434316196
10,"EWH, VEU, VWO, VWO, LQD, Cash",11.727076838221585,3.758466711615416,18.041776301130604,-35.379494838297056,0.20832021464426914
11,"IVE, QQQ, VEA, GSG, LQD, Cash",27.965567953652016,8.550699676343744,10.862648608129602,-8.478030519625568,0.7871652655637229
12,"EWH, IWM, EEM, BND, DBC, Cash",52.276215625103916,15.032832400334662,19.123911245919878,-16.978568988372167,0.7860752022440987
13,"QQQ, IWM, EFA, SPY, GSG, Cash",46.452226311620116,13.53540049144577,14.076856331735874,-16.755623043095223,0.9615357415370216
14,"IWN, VEA, VTI, SCZ, IWM, Cash",48.862049149989836,14.15361267419588,13.460790340078447,-16.00149203951251,1.051469662375961
15,"VEU, SCZ, IEF, VGK, IVE, Cash",41.55742849824327,12.270326113627794,16.363165320964466,-29.26723495062874,0.7498748483526637
16,"EWY, GSG, LQD, TIP, GLD, Cash",25.661916403987206,7.896561603559293,14.196331764534984,-23.735070845793494,0.5562395789654859
17,"EEM, IWN, VEA, IWM, GLD, Cash",1.9435922208866474,0.6425341895701209,14.0408567366554,-29.28366657040232,0.04576175098295146
18,"GSG, TLT, IWN, EWH, EWJ, Cash",47.84526088731971,13.907107760297022,20.970737326096707,-28.49942289273684,0.6631673242595308
19,"GLD, EFA, VEA, SCZ, EEM, Cash",36.09910393007889,10.799315063407477,15.899303163280784,-13.214116660811936,0.6792319734080134
20,"EWH, IVE, VTI, AGG, GLD, Cash",-4.415397369146112,-1.492655660224862,13.710638356178123,-32.837866684340945,-0.1088684291313292
21,"TLT, LQD, IWM, QQQ, VTI, Cash",16.542020095837362,5.230256134234801,12.55004060853245,-14.245840019959012,0.4167521283300776
22,"TLT, AGG, VWO, IWM, SPY, Cash",1.618259262074373,0.5355550955964627,12.467854066901902,-15.086862441488048,0.0429548736071741
23,"IEF, VEA, BND, GSG, GSG, Cash",34.09282707912291,10.253170989296056,13.62568880494423,-12.588591924438575,0.7524882694793075
24,"QQQ, BND, VEU, SHY, TIP, Cash",15.74559398833808,4.985558564037196,13.75025658841128,-25.261266076020316,0.36257931130092697
25,"AGG, TLT, AGG, GLD, QQQ, Cash",33.27574839591823,10.029185094401472,15.37762389600639,-20.509861438221034,0.6521934183216743
26,"LQD, QQQ, VNQ, HYG, EWY, Cash",6.0561704370813985,1.9756451931432162,12.672698585173475,-23.30086847349172,0.15589774978587734
27,"SPY, LQD, VEU, EWJ, DBC, Cash",52.4208441233672,15.069206178931417,16.807492231414216,-24.447151631728502,0.8965767153987529
28,"EWJ, HYG, EEM, EWJ, SCZ, Cash",-1.4256565126600895,-0.47662675604669413,16.675991352867566,-27.583554170239655,-0.028581614487628915
29,"BND, VEU, VEA, SHY, DBC, Cash",9.370806842764633,3.028009021913647,9.555492239945046,-20.29819779481603,0.31688676479225114
30,"EFA, IWM, VTI, BND, AGG, Cash",21.817177424011504,6.793161549017834,11.84657852277769,-17.193450491865104,0.5734281451776532
31,"GLD, VNQ, EWY, GLD, IVE, Cash",3.305707752863807,1.0889789778839365,12.318283586532129,-15.474494486672219,0.08840346710921179
32,"IWM, HYG, QQQ, IWN, SHY, Cash",18.0949685633494,5.689838751755882,14.015669417571457,-21.12362635502487,0.4059626823548311
33,"TIP, EEM, IEF, EWJ, EWY, Cash",30.262220195123078,9.203838715109613,15.956230483876352,-11.340577707994159,0.5768178596072563
34,"GLD, BND, IWN, TIP, AGG, Cash",43.93271256679847,12.881746545924088,16.546524131237067,-24.25345918111198,0.7785167714834748
35,"VWO, VNQ, AGG, TIP, EFA, Cash",14.569806816913466,4.629502968684096,11.258132247471346,-13.422560793237759,0.411214122104838
36,"VNQ, TIP, IEF, AGG, IWN, Cash",5.083874016460088,1.6651584354708149,10.849239959850774,-16.056948839864337,0.15348157489676523
37,"VWO, EWH, VNQ, IWM, LQD, Cash",17.18581732430986,5.4184179984752,23.962758681731334,-36.848991532681005,0.22611828923545768
38,"EFA, EWH, VTI, TIP, SHY, Cash",39.832023769186065,11.80135315695814,15.104471463401383,-23.07676366887992,0.7813152009690106
