,Portfolio,cumulative_returns,cumulative_returns_non_market,cagr,cagr_non_market,vol,vol_non_market,mdd,mdd_non_market,sharpe_ratio,sharpe_ratio_non_market
843,"GLD, VTI, HYG, DBC, VWO, Cash",17.05339288,11.22170108,5.378766495,3.602071908,12.71933426,12.71490497,-18.11465168,-26.43423724,0.422881134,0.283295228
844,"SCZ, DBC, BND, VGK, IVE, Cash",9.62393199,8.046381186,3.104481019,2.608415922,13.13888384,13.14400428,-14.08720238,-15.75113571,0.236281944,0.198449108
845,"EWY, AGG, EFA, BND, IWN, Cash",20.1606592,20.69676506,6.301394326,6.458962354,15.89077892,17.8590727,-23.39235003,-37.11117866,0.396544081,0.361662807
846,"AGG, EWY, VEU, VWO, IVE, Cash",25.74299179,23.88011602,7.927223939,7.392078842,11.58304856,13.25207979,-13.88381958,-16.07274641,0.684381482,0.557805187
847,"VEU, EWJ, GSG, AGG, EWJ, Cash",15.73469454,5.516941099,4.982269068,1.802839343,14.38849242,17.46489304,-19.84634647,-17.77900691,0.346267623,0.103226475
848,"IVE, EWJ, HYG, IVE, QQQ, Cash",14.60988203,14.23609441,4.641678709,4.52800319,17.45619812,16.33490719,-30.42236993,-29.45673713,0.265904333,0.277197975
849,"EFA, IEF, SPY, VGK, AGG, Cash",14.30106472,14.95385185,4.552022104,4.750499354,11.45008547,11.47967628,-11.67268601,-11.97787269,0.397553548,0.413818233
850,"GLD, LQD, AGG, VEA, GLD, Cash",18.30983706,7.871973853,5.753782394,2.553277063,10.99138985,9.17698836,-15.56361176,-12.98592967,0.523480877,0.278226033
851,"QQQ, IVE, SPY, AGG, IEF, Cash",14.96481186,10.9531561,4.749390486,3.518774331,11.958284,10.61756023,-14.33530952,-12.3197439,0.397163212,0.331410819
852,"SHY, DBC, HYG, IWM, EEM, Cash",16.64540314,24.78451847,5.256414713,7.645314403,20.45413384,21.05463514,-30.55017182,-30.43055636,0.256985446,0.363117877
853,"VEU, SCZ, IWN, IEF, SPY, Cash",41.33828867,43.10217252,12.2006296,12.66460196,10.52079501,16.17002105,-9.024086029,-17.73460021,1.159668028,0.783214933
854,"AGG, TIP, SPY, IWN, VWO, Cash",52.34200963,56.50331103,15.0346805,16.07079558,11.39594261,14.35822584,-9.965756525,-13.19881262,1.319301178,1.119274468
855,"VEA, SHY, EEM, TLT, EFA, Cash",-0.419222813,36.6231805,-0.139681721,10.94109203,14.24410061,14.49246623,-17.40174553,-12.86417224,-0.009806286,0.75495032
856,"EFA, IWM, LQD, GLD, SPY, Cash",-2.496141783,2.208197101,-0.837544594,0.729376227,12.27850219,12.32978499,-13.96842188,-14.75565296,-0.068212277,0.059155632
857,"GLD, EEM, SHY, LQD, IVE, Cash",16.3543095,83.03966574,5.168944164,22.28002473,13.27467212,14.14872264,-22.16222705,-16.69117142,0.389383942,1.574702204
858,"SPY, VEU, EEM, GSG, EFA, Cash",31.3941007,34.38161213,9.509861133,10.33211782,17.0874114,19.03442471,-24.61921143,-19.99471966,0.556541943,0.542812193
859,"LQD, DBC, QQQ, SPY, DBC, Cash",58.87655393,69.99761155,16.66988976,19.32850158,18.71010523,18.31085085,-13.51806697,-18.99531783,0.890956494,1.055576376
860,"EWJ, HYG, EWY, SHY, TLT, Cash",47.22369576,33.23570703,13.73404592,10.01818503,13.17809897,15.26458824,-18.69545697,-21.03096314,1.042187189,0.656302343
861,"EWY, TIP, IVE, EFA, TLT, Cash",35.61991372,46.74210248,10.67959897,13.62335021,10.30511537,12.51867747,-8.320581945,-12.81354734,1.036339583,1.088241968
862,"DBC, TIP, HYG, HYG, IEF, Cash",23.65619596,38.06117856,7.327393194,11.33915595,14.89707279,14.18584762,-13.61721646,-15.26353944,0.491867986,0.799328757
