Date,SPY,QQQ,IWM,VGK,EWJ,EWY,EWH,VEA,VWO,DBC,GLD,TLT,HYG,LQD,TIP,IEF,BND,SHY,BIL,IVE,IWN,EFA,VNQ,AGG,VEU,VTI,GSG,EEM,SCZ
2009-12-31,85.6768798828125,40.19845199584961,51.38149642944336,29.699140548706055,31.08928871154785,38.221534729003906,10.24199390411377,22.460710525512695,27.985740661621094,22.663843154907227,107.30999755859375,61.58162307739258,39.18374252319336,63.40376663208008,73.49279022216797,66.74984741210938,52.92637634277344,71.62963104248047,81.80194091796875,38.54583740234375,43.991477966308594,36.56468963623047,25.830827713012695,71.22187042236328,28.80135726928711,43.60804748535156,31.81999969482422,30.92543601989746,24.52191925048828
2010-01-04,87.12994384765625,40.78713607788086,52.648738861083984,30.605796813964844,31.88726806640625,39.59344482421875,10.5036039352417,23.064910888671875,28.941356658935547,23.234580993652344,109.80000305175781,61.52678298950195,39.49150085449219,63.73857498168945,73.6837387084961,66.9156265258789,52.98700714111328,71.72461700439453,81.76630401611328,39.163917541503906,45.151145935058594,37.52378845214844,25.72113609313965,71.30471801757812,29.69293212890625,44.33523941040039,32.70000076293945,31.827117919921875,25.165603637695312
2010-01-05,87.360595703125,40.78713607788086,52.46772384643555,30.556791305541992,32.07877731323242,39.6094970703125,10.60170841217041,23.078046798706055,29.036911010742188,23.26219940185547,109.69999694824219,61.92414474487305,39.67886734008789,64.04298400878906,73.92427825927734,67.20947265625,53.141876220703125,71.81097412109375,81.74845886230469,39.37478256225586,44.984397888183594,37.556861877441406,25.692270278930664,71.62907409667969,29.686338424682617,44.50543975830078,33.029998779296875,32.05812454223633,25.336793899536133
2010-01-06,87.42211151123047,40.54111099243164,52.4183349609375,30.74057388305664,32.20646286010742,40.17913055419922,10.63440990447998,23.084625244140625,29.214385986328125,23.676443099975586,111.51000213623047,61.09517288208008,39.781471252441406,63.854286193847656,73.73326110839844,66.93817901611328,53.121673583984375,71.81958770751953,81.74845886230469,39.46931076049805,44.8934440612793,37.715599060058594,25.646085739135742,71.58768463134766,29.818429946899414,44.56731414794922,33.27000045776367,32.12519454956055,25.418977737426758
2010-01-07,87.79112243652344,40.56745910644531,52.80509567260742,30.54454231262207,31.919185638427734,39.36079025268555,10.63440990447998,23.038646697998047,28.961830139160156,23.381868362426758,110.81999969482422,61.197975158691406,39.94207000732422,63.933380126953125,73.84646606445312,66.93817901611328,53.08127212524414,71.8023452758789,81.74845886230469,39.811073303222656,45.424015045166016,37.570091247558594,25.92321014404297,71.50482177734375,29.640108108520508,44.75297927856445,33.11000061035156,31.938892364501953,25.43951988220215
2010-01-08,88.08325958251953,40.901371002197266,53.0931282043457,30.8508358001709,32.30222702026367,39.938438415527344,10.640951156616211,23.288209915161133,29.139293670654297,23.36345672607422,111.37000274658203,61.170589447021484,40.00453186035156,64.07337951660156,74.0020523071289,67.0210952758789,53.13512420654297,71.8714828491211,81.74845886230469,39.88378143310547,45.67413330078125,37.867740631103516,25.732685089111328,71.5462875366211,29.937305450439453,44.89995574951172,33.18000030517578,32.192264556884766,25.66549301147461
2010-01-11,88.20630645751953,40.73441696166992,52.87915802001953,31.09588050842285,32.58949279785156,40.18716049194336,10.654030799865723,23.43269157409668,29.180261611938477,23.289813995361328,112.8499984741211,60.834903717041016,39.96881103515625,64.14036560058594,73.83938598632812,67.06629180908203,53.155338287353516,71.90595245361328,81.74845886230469,40.02922439575195,45.416419982910156,38.178619384765625,25.882801055908203,71.49102020263672,29.831628799438477,44.96186447143555,33.02000045776367,32.12519454956055,25.932554244995117
2010-01-12,87.38362884521484,40.22480773925781,52.303138732910156,30.64255714416504,32.812931060791016,39.63357162475586,10.5428466796875,23.163423538208008,28.757043838500977,22.7927188873291,110.48999786376953,61.876197814941406,39.763648986816406,64.26212310791016,74.17890930175781,67.54844665527344,53.35739517211914,71.96642303466797,81.74845886230469,39.62202453613281,44.870704650878906,37.72882843017578,25.449783325195312,71.94656372070312,29.69293212890625,44.49768829345703,32.279998779296875,31.611019134521484,25.590166091918945
2010-01-13,88.12168884277344,40.72563552856445,52.977901458740234,31.059120178222656,33.00444412231445,39.69774627685547,10.477444648742676,23.380155563354492,28.873098373413086,22.81113052368164,111.54000091552734,61.15687942504883,39.85285949707031,63.994285583496094,73.84646606445312,67.22447967529297,53.236167907714844,71.90595245361328,81.78414154052734,39.97104263305664,45.54529571533203,38.04632568359375,25.963623046875,71.64289093017578,29.930692672729492,44.91543960571289,32.2599983215332,31.707883834838867,25.877784729003906
2010-01-14,88.36003875732422,40.760772705078125,53.1754035949707,30.99786949157715,33.48323059082031,39.938438415527344,10.412041664123535,23.511503219604492,28.804834365844727,22.691457748413086,112.02999877929688,62.013187408447266,39.89743423461914,64.2255630493164,74.03742980957031,67.54096221923828,53.364097595214844,71.97504425048828,81.76630401611328,40.0364875793457,45.734779357910156,38.337364196777344,25.940528869628906,71.82919311523438,30.00995445251465,44.99281311035156,32.20000076293945,31.62590980529785,26.001035690307617
2010-01-15,87.3682632446289,40.28629684448242,52.40188217163086,30.34849739074707,33.41939926147461,39.63357162475586,10.27469539642334,23.130586624145508,28.463544845581055,22.43370819091797,110.86000061035156,62.39685821533203,39.73685836791992,64.20127868652344,74.2779312133789,67.84221649169922,53.39779281616211,72.0354232788086,81.76630401611328,39.578399658203125,45.14356231689453,37.73545455932617,25.744232177734375,71.96723937988281,29.600486755371094,44.482208251953125,31.770000457763672,31.260772705078125,25.761362075805664
